OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	60s_mean	30s_mean	70+_mean	40s_mean	child_mean	baby_mean	50s_mean	taxonomy
4389275	89.3851208872	6.66133814775e-16	1.52877710491e-13	7.33813010356e-12	0.0	0.0	0.0	0.00242130750605	0.0	0.0	0.0147058823529	21.9344262295	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
4415322	86.9182170096	1.99840144433e-15	4.49273271647e-13	2.20143903107e-11	0.0	0.0106951871658	0.00540540540541	0.00242130750605	0.0142857142857	22.4504716981	0.0	0.295081967213	4.97963800905	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
1115794	86.657028651	2.22044604925e-15	4.89208673571e-13	2.44604336785e-11	0.0	0.0427807486631	6.31891891892	0.0944309927361	0.0142857142857	22.1132075472	0.191176470588	0.0	0.0158371040724	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
4361528	86.2646796134	2.6645352591e-15	5.75539615966e-13	2.93525204142e-11	0.0666666666667	13.3636363636	8.70810810811	13.612590799	23.6642857143	0.908018867925	1.02941176471	21.262295082	27.1787330317	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
442126	85.625532944	3.5527136788e-15	7.52628728571e-13	3.91366938857e-11	0.0	0.786096256684	0.1	0.0121065375303	0.0357142857143	0.129716981132	0.0735294117647	22.3606557377	0.00452488687783	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__
4471067	81.9857295312	1.94289029309e-14	4.03827914504e-12	2.14028794687e-10	0.1	23.3582887701	1.03513513514	0.634382566586	0.25	0.721698113208	0.0294117647059	0.0327868852459	0.233031674208	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__; s__
841344	80.8560207542	3.28626015289e-14	6.7039707119e-12	3.62014418442e-10	12.8333333333	0.096256684492	0.364864864865	0.394673123487	0.871428571429	0.495283018868	21.2794117647	0.295081967213	0.984162895928	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__1-68; s__
4405146	80.6173744452	3.67483821151e-14	7.36036686145e-12	4.0482017738e-10	0.0666666666667	1.45989304813	11.1243243243	5.77239709443	25.6571428571	19.4198113208	0.0735294117647	2.93442622951	4.42307692308	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4447188	79.8459414343	5.25135490648e-14	1.03301652946e-11	5.78489256498e-10	9.6	20.0427807487	30.4810810811	26.7627118644	59.65	19.7735849057	3.92647058824	31.8852459016	30.0135746606	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
4481131	79.8064779955	5.35127497869e-14	1.03420430115e-11	5.89496451653e-10	348.4	357.652406417	255.8	378.450363196	255.5	312.353773585	402.882352941	253.918032787	306.649321267	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
