OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	60s_mean	30s_mean	70+_mean	40s_mean	child_mean	baby_mean	50s_mean	taxonomy
4348472	0.186300401494	0.99999708787	1.0	1.0	0.0	0.0	0.264864864865	0.147699757869	0.0	0.0754716981132	0.0	0.0	0.052036199095	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
547824	0.186283643273	0.999997088898	1.0	1.0	0.0666666666667	0.0213903743316	0.00540540540541	0.00968523002421	0.0	0.00471698113208	0.0	0.0	0.00452488687783	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
31235	0.186119036139	0.999997098984	1.0	1.0	0.0333333333333	0.0106951871658	0.00810810810811	0.0145278450363	0.0	0.00943396226415	0.0	0.016393442623	0.0158371040724	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__
245324	0.185986460903	0.999997107088	1.0	1.0	0.0	0.0588235294118	0.0108108108108	0.00242130750605	0.0214285714286	0.0306603773585	0.0294117647059	0.0327868852459	0.0135746606335	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia; s__
4336750	0.18595427258	0.999997109053	1.0	1.0	0.0	0.0	0.0216216216216	0.0217917675545	0.214285714286	0.0330188679245	0.0	0.0	0.00678733031674	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
158855	0.185758928229	0.999997120957	1.0	1.0	0.1	0.0213903743316	0.105405405405	0.00484261501211	0.0285714285714	0.0	0.0	0.0	0.0837104072398	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4460024	0.185748101347	0.999997121616	1.0	1.0	0.0	0.0320855614973	0.0297297297297	0.0387409200969	0.0214285714286	0.0566037735849	0.0	0.0	0.0203619909502	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__stutzeri
749837	0.185680995532	0.999997125696	1.0	1.0	0.0333333333333	0.0213903743316	0.00540540540541	0.0145278450363	0.0	0.00943396226415	0.0147058823529	0.016393442623	0.196832579186	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Oribacterium; s__
325353	0.185543968532	0.999997134015	1.0	1.0	0.0	0.0160427807487	0.0243243243243	0.0217917675545	0.0428571428571	0.0283018867925	0.0	0.0	0.027149321267	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
2864281	0.18544465874	0.999997140032	1.0	1.0	0.0666666666667	0.427807486631	0.540540540541	0.164648910412	0.0142857142857	0.235849056604	0.470588235294	1.11475409836	1.12669683258	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Succiniclasticum; s__
1139117	0.185188697382	0.999997155499	1.0	1.0	0.0	0.0106951871658	0.875675675676	0.0145278450363	0.0285714285714	0.0448113207547	0.0588235294118	0.016393442623	0.0565610859729	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__palustris
8195	0.185184122781	0.999997155775	1.0	1.0	0.0	0.0106951871658	0.027027027027	0.0169491525424	0.0214285714286	0.00235849056604	0.0147058823529	0.0327868852459	0.0135746606335	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__; s__
178742	0.18500505116	0.999997166558	1.0	1.0	0.0	0.0160427807487	0.0162162162162	0.00726392251816	0.00714285714286	0.0188679245283	0.0294117647059	0.0	0.0158371040724	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
146950	0.18500122635	0.999997166788	1.0	1.0	0.0	0.0	0.0	0.00726392251816	0.0214285714286	0.00235849056604	0.0	0.0	0.00678733031674	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
196802	0.184935572789	0.999997170734	1.0	1.0	0.0	0.0267379679144	0.0108108108108	0.00968523002421	0.00714285714286	0.0212264150943	0.0	0.0	0.00904977375566	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
817209	0.18485259035	0.999997175715	1.0	1.0	0.0333333333333	0.0	0.0	0.00484261501211	0.00714285714286	0.0	0.0	0.016393442623	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
1142524	0.184786999112	0.999997179648	1.0	1.0	0.0	0.0267379679144	0.251351351351	0.731234866828	0.0642857142857	0.106132075472	0.0	0.0	0.00904977375566	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Oceanobacillus; s__chironomi
4447432	0.184736939132	0.999997182647	1.0	1.0	0.0	0.0160427807487	0.0162162162162	0.0121065375303	0.0	0.0330188679245	0.0882352941176	0.0	0.0135746606335	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
4335748	0.184728183358	0.999997183171	1.0	1.0	0.0333333333333	0.0	0.0027027027027	0.0	0.0	0.00235849056604	0.0147058823529	0.016393442623	0.00226244343891	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Sodalis; s__
4356466	0.184725521758	0.99999718333	1.0	1.0	0.0333333333333	0.0320855614973	0.0243243243243	0.0145278450363	0.0357142857143	0.0141509433962	0.0147058823529	0.0327868852459	0.0248868778281	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
335884	0.184707915951	0.999997184384	1.0	1.0	0.0	0.0	1.15135135135	0.312348668281	0.678571428571	0.0212264150943	0.0147058823529	0.0	0.119909502262	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
362371	0.184624872719	0.999997189351	1.0	1.0	0.0666666666667	0.048128342246	0.0324324324324	0.0314769975787	0.0142857142857	0.0377358490566	0.0294117647059	0.0327868852459	0.0407239819005	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
716984	0.18408122383	0.999997221708	1.0	1.0	0.166666666667	0.0	0.00540540540541	0.00726392251816	0.0	0.00707547169811	0.0147058823529	0.016393442623	0.0180995475113	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
300260	0.184020779461	0.999997225288	1.0	1.0	0.0	0.0	0.0189189189189	0.0145278450363	0.0	0.0235849056604	0.0	0.0	0.0339366515837	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
484439	0.183875587899	0.999997233875	1.0	1.0	0.3	0.0427807486631	0.0324324324324	0.00484261501211	0.00714285714286	0.00471698113208	0.0294117647059	0.016393442623	0.0158371040724	k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae; g__Jonquetella; s__anthropi
277409	0.183788792551	0.999997238998	1.0	1.0	0.0	0.0	0.0189189189189	0.0169491525424	0.0142857142857	0.0141509433962	0.0294117647059	0.016393442623	0.0113122171946	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
4295707	0.183620179913	0.999997248932	1.0	1.0	0.0	0.0	0.0189189189189	0.0242130750605	0.0214285714286	0.0660377358491	0.0	0.229508196721	0.0248868778281	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__biforme
2272351	0.183506372228	0.999997255621	1.0	1.0	0.0	0.288770053476	0.17027027027	0.0	0.171428571429	0.0872641509434	0.147058823529	0.0	0.196832579186	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
199149	0.183372418249	0.999997263479	1.0	1.0	0.0666666666667	0.00534759358289	0.0135135135135	0.0169491525424	0.0214285714286	0.0165094339623	0.0	0.016393442623	0.0135746606335	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4347834	0.183323267491	0.999997266359	1.0	1.0	0.0	0.0267379679144	0.0216216216216	0.046004842615	0.0428571428571	0.0259433962264	0.0147058823529	0.0	0.0248868778281	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__[Chromatiaceae]; g__Alkalimonas; s__collagenimarina
