OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Summer_mean	Spring_mean	Winter_mean	Fall_mean	taxonomy
4479467	28.5188960354	2.82621138375e-06	0.000879977705541	0.0311335446034	6.33039647577	1.98245614035	2.07929515419	0.975609756098	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__rhizophila
900973	28.4829669567	2.87574413575e-06	0.000879977705541	0.0316791973995	0.0748898678414	0.0643274853801	0.0132158590308	0.170731707317	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__
4476936	27.9745038787	3.6770676533e-06	0.00109477235862	0.0405065772688	0.00881057268722	0.00292397660819	0.0748898678414	0.0569105691057	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium; s__
4310398	27.031935238	5.79729144038e-06	0.00168060427651	0.0638629625072	0.0220264317181	0.0204678362573	0.145374449339	0.227642276423	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nanceiensis
4436552	26.7658079748	6.59188822506e-06	0.00186195488942	0.0726162406873	142.303964758	151.713450292	230.400881057	147.593495935	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
4402735	26.6408837301	7.00147598916e-06	0.00192820648741	0.0771282594966	0.246696035242	0.0438596491228	0.114537444934	0.577235772358	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__
793524	26.236218317	8.51068731439e-06	0.00228667637696	0.0937537314554	0.0837004405286	0.0175438596491	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Helcococcus; s__
4352349	25.3840898788	1.28331156893e-05	0.00336594291508	0.141369602434	0.00881057268722	0.0380116959064	1.92511013216	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
518065	25.1156491345	1.46042365184e-05	0.00374140161597	0.160880269487	0.145374449339	0.0263157894737	0.00881057268722	0.0325203252033	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
185502	24.4636026296	1.99880299113e-05	0.00500427585235	0.220188137503	0.0925110132159	0.0701754385965	0.123348017621	0.268292682927	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
13463	24.4124191629	2.0486267985e-05	0.00501503840273	0.225676728123	1.04405286344	0.470760233918	0.0925110132159	0.79674796748	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
269907	23.5743437849	3.064981675e-05	0.00733996481126	0.337638381318	0.00881057268722	0.00877192982456	0.079295154185	0.0487804878049	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
