OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Rarely (few times/month)_mean	Occasionally (1-2 times/week)_mean	Never_mean	Regularly (3-5 times/week)_mean	Daily_mean	taxonomy
177244	26.2015412782	2.88171117881e-05	0.00538049666877	0.317449303458	0.0	0.0	0.0588235294118	0.743002544529	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
171527	25.5800870328	3.84521222326e-05	0.0070598096419	0.423588578514	0.0117647058824	0.0	0.117647058824	0.0865139949109	0.00436681222707	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
4335484	25.1022920969	4.79824650398e-05	0.00866516122752	0.528574834879	0.0	0.0204081632653	0.117647058824	0.00508905852417	0.00436681222707	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta
269619	24.825361409	5.45452391872e-05	0.00969145733687	0.600870354886	0.576470588235	0.173469387755	0.0	0.371501272265	2.23580786026	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
54563	23.9582096165	8.14302228029e-05	0.0142386561015	0.897035334397	1.47058823529	0.739795918367	3.41176470588	0.737913486005	0.890829694323	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
4418233	23.884616066	8.42428890186e-05	0.0145003072723	0.928019665429	0.0941176470588	0.0102040816327	0.0	0.00254452926209	0.00873362445415	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Acidaminococcus; s__
236168	23.7310079141	9.04282047878e-05	0.0153254939068	0.996157103942	0.0352941176471	0.0102040816327	0.176470588235	0.0203562340967	0.0305676855895	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhodoferax; s__
354563	22.9062437299	0.000132205831377	0.022066355128	1.0	0.0470588235294	0.015306122449	0.235294117647	0.027989821883	0.00873362445415	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
279431	22.4649769911	0.000161922441772	0.0262990141669	1.0	0.0	0.00510204081633	0.235294117647	0.00763358778626	0.0131004366812	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
1076818	22.4593729468	0.000162339593623	0.0262990141669	1.0	0.0588235294118	0.214285714286	0.882352941176	0.145038167939	0.113537117904	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4424113	22.0887009293	0.000192434493478	0.0307225852196	1.0	1.34117647059	0.454081632653	0.0	0.699745547074	0.755458515284	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4391810	21.627105776	0.000237746526681	0.0374145105417	1.0	0.0705882352941	0.00510204081633	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
3584772	21.5881561927	0.000242022333936	0.0375509581781	1.0	0.0	0.234693877551	0.235294117647	0.603053435115	1.06986899563	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
189674	21.3116589773	0.000274647239691	0.0419661251923	1.0	0.0	0.015306122449	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4344207	21.284342143	0.00027809796106	0.0419661251923	1.0	1.67058823529	0.816326530612	0.647058823529	0.180661577608	0.327510917031	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus
514257	21.176542583	0.000292139888427	0.0434893650123	1.0	1.70588235294	3.84183673469	0.588235294118	3.60050890585	4.90829694323	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
1145553	21.0231152259	0.000313344895206	0.0460240982079	1.0	3.63529411765	0.0	0.0	0.00254452926209	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
110458	20.9573956719	0.000322888052846	0.0468017735546	1.0	0.0588235294118	0.0	0.0	0.0483460559796	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
352906	20.8083426288	0.000345612580033	0.04944504132	1.0	0.0	0.015306122449	0.176470588235	0.0101781170483	0.0305676855895	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
50779	20.5537934075	0.000388141493657	0.0548175217196	1.0	0.0352941176471	0.704081632653	0.352941176471	0.613231552163	1.6943231441	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
102565	20.4402579108	0.000408744798175	0.0569966164139	1.0	0.0	0.0	0.235294117647	0.0	0.0393013100437	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
4449950	20.3963254365	0.000417004728704	0.0573072807279	1.0	0.117647058824	0.25	0.117647058824	0.0229007633588	0.00873362445415	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Zoogloea; s__
268083	20.373417699	0.000421377064176	0.0573072807279	1.0	0.0	0.0	0.117647058824	0.0	0.218340611354	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
3409358	20.2631961848	0.000443057786344	0.0591901316933	1.0	41.0588235294	46.8469387755	191.941176471	78.6921119593	81.5327510917	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
196381	20.2488104866	0.000445967767841	0.0591901316933	1.0	0.847058823529	6.21428571429	0.764705882353	6.77608142494	10.5109170306	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
178845	19.973457461	0.000505460498923	0.0654728556631	1.0	1.74117647059	4.70408163265	1.23529411765	8.37913486005	10.9519650655	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
