OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Rarely (few times/month)_mean	Occasionally (1-2 times/week)_mean	Never_mean	Daily_mean	Regularly (3-5 times/week)_mean	taxonomy
4307330	0.0461736591286	0.99973756563	1.0	1.0	0.354260089686	0.174528301887	0.211920529801	0.307692307692	0.278606965174	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
187038	0.046139363802	0.999737952339	1.0	1.0	0.201793721973	0.193396226415	0.112582781457	0.192307692308	0.303482587065	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
669356	0.0460206448556	0.999739288832	1.0	1.0	0.00896860986547	0.0	0.0	0.115384615385	0.0597014925373	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__stutzeri
4318284	0.045838990586	0.999741327313	1.0	1.0	0.139013452915	0.165094339623	0.046357615894	0.161538461538	0.194029850746	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
292962	0.0457535134637	0.999742283792	1.0	1.0	0.27802690583	0.240566037736	0.205298013245	0.107692307692	0.238805970149	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
4314257	0.045729805155	0.999742548776	1.0	1.0	0.780269058296	0.63679245283	0.715231788079	0.646153846154	0.517412935323	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
301678	0.04568665221	0.999743030745	1.0	1.0	0.0134529147982	0.00943396226415	0.152317880795	0.0307692307692	0.0298507462687	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
613189	0.0455735965317	0.99974429134	1.0	1.0	0.0448430493274	0.0141509433962	0.105960264901	0.146153846154	0.0348258706468	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
4178726	0.045377641389	0.999746469052	1.0	1.0	0.143497757848	0.0188679245283	0.00662251655629	0.0153846153846	0.00497512437811	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
184013	0.045303805345	0.999747287237	1.0	1.0	0.466367713004	0.471698113208	0.390728476821	0.276923076923	0.363184079602	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
291149	0.0451219304494	0.999749297056	1.0	1.0	0.0448430493274	0.0283018867925	0.0198675496689	0.146153846154	0.109452736318	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
34757	0.0450859994407	0.999749693178	1.0	1.0	0.125560538117	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__apodemus
174747	0.0450789660475	0.999749770682	1.0	1.0	0.237668161435	0.132075471698	0.105960264901	0.238461538462	0.124378109453	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
585914	0.0448927897166	0.999751817938	1.0	1.0	0.0762331838565	0.169811320755	0.0596026490066	0.192307692308	0.0845771144279	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
312586	0.0447881491439	0.999752964964	1.0	1.0	0.816143497758	0.806603773585	0.569536423841	0.7	0.701492537313	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
352604	0.0447703411812	0.999753159907	1.0	1.0	0.22869955157	0.316037735849	0.165562913907	0.230769230769	0.139303482587	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
303326	0.0447067533482	0.999753855381	1.0	1.0	0.448430493274	0.5	0.284768211921	0.384615384615	0.383084577114	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
305460	0.0446841542657	0.99975410232	1.0	1.0	0.0403587443946	0.0707547169811	0.158940397351	0.0307692307692	0.129353233831	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
195465	0.0446674968488	0.999754284256	1.0	1.0	0.67264573991	0.877358490566	0.708609271523	0.915384615385	0.766169154229	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4402797	0.0442873550509	0.999758418223	1.0	1.0	0.0	0.0	0.0	0.0	0.124378109453	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Acanthamoeba; s__polyphaga
190595	0.0442775308054	0.999758524602	1.0	1.0	0.789237668161	0.716981132075	0.688741721854	0.907692307692	0.641791044776	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
