OTU	Test-Statistic	P	FDR_P	Bonferroni_P	8 or more hours_mean	7-8 hours_mean	6-7 hours_mean	5-6 hours_mean	Less than 5 hours_mean	taxonomy
294169	0.362558595875	0.98542594882	1.0	1.0	0.00769230769231	0.0170316301703	0.0168918918919	0.0142857142857	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4314092	0.360345498508	0.985592866632	1.0	1.0	0.0538461538462	0.043795620438	0.108108108108	0.0285714285714	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
302407	0.358105701003	0.985760944668	1.0	1.0	0.0461538461538	0.043795620438	0.0540540540541	0.0285714285714	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
348612	0.344652410613	0.986752312681	1.0	1.0	0.215384615385	0.175182481752	0.0743243243243	0.0714285714286	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
4404461	0.339378743526	0.987132352866	1.0	1.0	0.0384615384615	0.0121654501217	0.0202702702703	0.0142857142857	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
4428119	0.338185201714	0.98721768887	1.0	1.0	1.30769230769	5.38929440389	1.01013513514	2.55714285714	0.0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__
4329788	0.3342193178	0.987499445709	1.0	1.0	0.0538461538462	0.043795620438	0.0236486486486	0.0285714285714	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
181827	0.331818516896	0.987668665296	1.0	1.0	0.5	0.518248175182	0.513513513514	0.514285714286	0.375	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
182797	0.327391806216	0.987978009023	1.0	1.0	0.292307692308	0.610705596107	0.5	0.342857142857	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4469302	0.320189514251	0.988473872516	1.0	1.0	1.06153846154	1.6301703163	2.59121621622	2.75714285714	0.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4460021	0.317769622737	0.988638397907	1.0	1.0	0.592307692308	0.693430656934	1.24324324324	1.2	0.875	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
174614	0.317168491807	0.988679105267	1.0	1.0	0.0153846153846	0.0243309002433	0.0236486486486	0.0142857142857	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
